20161101 014300;1.096800;1.096800;1.096800;1.096800
20161101 014400;1.096840;1.096840;1.096730;1.096730
20161101 014500;1.096720;1.096720;1.096420;1.096550
20161101 014600;1.096550;1.096600;1.096540;1.096570
20161101 014700;1.096580;1.096610;1.096520;1.096520
20161101 014800;1.096510;1.096630;1.096510;1.096570
20161101 014900;1.096570;1.096610;1.096570;1.096610
20161101 015000;1.096620;1.096730;1.096620;1.096680
20161101 015100;1.096680;1.096730;1.096660;1.096720
20161101 015200;1.096690;1.096790;1.096690;1.096780
20161101 015300;1.096800;1.096830;1.096780;1.096810
20161101 015400;1.096830;1.096880;1.096820;1.096830
20161101 015500;1.096830;1.096880;1.096830;1.096870
20161101 015600;1.096870;1.096870;1.096840;1.096860
20161101 015700;1.096860;1.096860;1.096750;1.096780
20161101 015800;1.096790;1.096800;1.096750;1.096750
20161101 015900;1.096740;1.096740;1.096670;1.096670
20161101 020000;1.096660;1.096660;1.096560;1.096640
20161101 020100;1.096630;1.096700;1.096600;1.096700
20161101 020200;1.096690;1.096700;1.096630;1.096630
20161101 020300;1.096620;1.096650;1.096620;1.096630
20161101 020400;1.096640;1.096650;1.096600;1.096630
20161101 020500;1.096600;1.096620;1.096580;1.096620
20161101 020600;1.096630;1.096660;1.096630;1.096660
20161101 020700;1.096680;1.096770;1.096670;1.096770
20161101 020800;1.096740;1.096780;1.096740;1.096770
20161101 020900;1.096750;1.096750;1.096700;1.096710
20161101 021000;1.096720;1.096820;1.096710;1.096820
20161101 021100;1.096830;1.096840;1.096790;1.096790
20161101 021200;1.096790;1.096800;1.096750;1.096760
20161101 021300;1.096780;1.096780;1.096740;1.096740
20161101 021400;1.096740;1.096750;1.096730;1.096730
20161101 021500;1.096720;1.096760;1.096700;1.096710
20161101 021600;1.096710;1.096830;1.096710;1.096800
20161101 021700;1.096830;1.096830;1.096780;1.096780
20161101 021800;1.096760;1.096770;1.096760;1.096770
20161101 021900;1.096750;1.096750;1.096600;1.096600
20161101 022000;1.096600;1.096670;1.096600;1.096670
20161101 022100;1.096670;1.096820;1.096670;1.096820
20161101 022200;1.096810;1.096830;1.096770;1.096800
20161101 022300;1.096780;1.096800;1.096780;1.096800
20161101 022400;1.096820;1.096830;1.096800;1.096820
20161101 022500;1.096810;1.096850;1.096810;1.096850
20161101 022600;1.096850;1.096980;1.096850;1.096980
20161101 022700;1.096960;1.097060;1.096960;1.097060
20161101 022800;1.097060;1.097060;1.096970;1.097000
20161101 022900;1.096990;1.097010;1.096960;1.097010
20161101 023000;1.097030;1.097030;1.096950;1.096960
20161101 023100;1.096980;1.097000;1.096970;1.097000
20161101 023200;1.097010;1.097100;1.097010;1.097070
20161101 023300;1.097060;1.097120;1.097060;1.097110
20161101 023400;1.097080;1.097080;1.097020;1.097020
20161101 023500;1.097030;1.097060;1.096990;1.096990
20161101 023600;1.097000;1.097020;1.096980;1.097020
20161101 023700;1.097020;1.097020;1.096990;1.097010
20161101 023800;1.097010;1.097010;1.097000;1.097010
20161101 023900;1.097000;1.097020;1.096970;1.097000
20161101 024000;1.096980;1.096990;1.096880;1.096890
20161101 024100;1.096930;1.096930;1.096790;1.096800
20161101 024200;1.096820;1.096820;1.096760;1.096760
20161101 024300;1.096750;1.096750;1.096500;1.096530
20161101 024400;1.096530;1.096570;1.096440;1.096570
20161101 024500;1.096600;1.096620;1.096510;1.096520
20161101 024600;1.096530;1.096630;1.096530;1.096630
20161101 024700;1.096610;1.096610;1.096580;1.096580
20161101 024800;1.096570;1.096590;1.096450;1.096450
20161101 024900;1.096470;1.096560;1.096470;1.096560
20161101 025000;1.096560;1.096610;1.096560;1.096580
20161101 025100;1.096570;1.096600;1.096570;1.096570
20161101 025200;1.096550;1.096600;1.096540;1.096590
20161101 025300;1.096590;1.096610;1.096590;1.096610
20161101 025400;1.096600;1.096610;1.096570;1.096580
20161101 025500;1.096600;1.096600;1.096530;1.096570
